AC_TYPEID,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
98,STIN.FW LT 300 HP,STINSON,STINSON 0-299 HP,STNSN FW,01-01-50,9999
103,AERO COMANDR 500/6,ROCKWELL,AERO COMMANDER (500/600 SERIES EXCPT 680FL),COMMANDR,01-01-90,9999
104,AERO COMANDR 680FL,ROCKWELL,GRAND COMMANDER 680FL,COMMANDR,01-01-90,9999
105,BEECH C-50,BEECHCRAFT,BEECH C-50 (TWIN BONANZA),TWBONANZ,01-01-90,9999
110,BEECH 18,BEECHCRAFT,BEECH 18 C-185,BE-18C,01-01-90,9999
111,BEECH KINGAIR 90,BEECHCRAFT,BEECH KING AIR 90,KING AIR,01-01-90,9999
113,BEECH B-95,BEECHCRAFT,BEECH B-95 (TRAVELAIR),TRAVLAIR,01-01-90,9999
115,BEECH AT-11,BEECHCRAFT,BEECH AT-11,AT-11,01-01-90,9999
117,BEECH BARON B-55,BEECHCRAFT,BEECH BARON (55 SERIES),BARON,01-01-90,9999
120,CESSNA T-50,CESSNA,CESSNA T-50 (BOBCAT),BOBCAT,01-01-90,9999
121,CESSNA C-421,CESSNA,CESSNA C-421,CE-C421,01-01-90,9999
122,CESSNA C-310,CESSNA,CESSNA C-310 SERIES,CE-C310,01-01-90,9999
123,CESSNA C-340/335,CESSNA,CESSNA C-340/335,CE-340,01-09-06,9999
125,CESSNA C-402/402A,CESSNA,CESSNA C-402/402A/402B,CE-402,01-01-90,9999
128,CESSNA 404,CESSNA,CESSNA 404,CE-404,01-01-90,9999
130,C-28 5ACF PBY,CONSOLIDATED VULTEE,C-28 5ACF PBY,PBY,01-01-90,9999
131,BRITT-NORMAN BN2/A,PILATUS BRITTEN-NORMAN,PILATUS BRITTEN-NORMAN BN2/A ISLANDER,ISLANDER,01-01-90,9999
132,C-28 5ACF-PBY EMQ,CONSOLIDATED VULTEE,C-28 5ACF-PBY-EMQ,PBY-EMQ,01-01-90,9999
133,BEECH QUEEN AIR,BEECHCRAFT,BEECH 65/65A-80/65B-80 (QUEEN AIR),QUEENAIR,01-01-90,9999
140,CONVAIR CV-240,CONVAIR,CONVAIR CV-240,CV-240,01-01-90,9999
143,CONVAIR CV-340/440,CONVAIR,CONVAIR CV-340/440,CV-340/4,01-01-90,9999
